popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
51,0.00537,0.507,231133,0.686,0,0.124,-4.974,0.0401,120.4064967,0.389,Rock
63,0.0414,0.325,153160,0.872,0,0.478,-2.535,0.101,199.842,0.744,Rock
53,0.985,0.336,190400,0.0619,0.891,0.11,-20.494,0.0363,60.705,0.197,Jazz
67,0.05,0.813,,0.977,,,-6.078,0.0476,,0.842,Rock
,0.00798,0.672,,0.688,,,-9.605,0.0375,,0.808,Electronic
56,0.0116,0.507,-1,0.666,0.343,0.129,-8.362,0.029,77.979,0.185,Rock
55,0.128,0.534,295467,0.663,3.63E-05,0.431,-5.48,0.0286,141.525,0.573,Rock
32,0.000744,0.471,228520,0.944,0.000587,0.193,-4.673,0.0686,94.414,0.763,Blues
76,,0.667,207851,,0.015,0.0972,-5.935,0.0675,114.981,0.485,Rock
62,,,221187,,3.31E-05,0.112,-8.821,0.036,95.239,,Rock
20,0.000918,0.167,-1,0.461,0.793,0.113,-10.65,0.0331,87.03,0.103,Anime
41,0.178,0.7,227159,0.679,0,0.0787,-7.019,0.117,78.817,0.412,Country
53,,0.655,304693,,0,0.0643,-12.824,,118.732,0.528,Country
55,0.0134,,217067,0.626,0,0.349,-7.155,0.045,134.028,,Alternative
38,0.00108,0.776,448480,0.703,0.88,0.352,-16.542,0.0498,125.938,0.922,Jazz
59,0.00888,,224960,0.951,0.00126,0.376,-3.888,0.0966,158.075,,Rock
33,0.99,0.393,-1,0.112,0.924,0.123,-24.031,0.0348,139.968,0.487,Classical
52,0.00101,0.565,213853,0.905,0,0.325,-3.575,0.057,126.011,0.684,Rock
62,0.0208,0.575,249813,0.478,1.11E-05,0.144,-5.517,0.0314,125.968,0.297,Rock
34,3.23E-06,0.275,144600,0.958,0.959,0.315,-9.171,0.0408,99.993,0.727,Blues
59,0.00177,0.568,197933,0.871,0.000406,0.36,-5.235,0.0494,133.064,0.693,Rock
61,,0.596,185030,,0.151,0.135,-5.82,0.0698,149.999,0.56,Rock
49,,0.704,-1,,0.11,0.154,,0.0315,128.807,0.789,Rock
,0.193,0.477,,0.471,,0.131,-10.036,0.0277,81.204,0.423,Rock
54,0.936,0.696,131024,0.234,4.30E-05,0.114,-14.541,0.0383,130.302,0.484,Jazz
53,,0.492,202032,,0.162,0.255,-6.79,0.0332,84.237,0.323,Rock
58,0.838,0.665,-1,0.253,0,0.168,-7.326,0.0505,142.252,0.477,Rock
30,,,212160,,0.904,0.513,-11.301,0.038,163.163,,Jazz
49,,0.562,284093,,0,0.322,-7.974,0.203,93.378,0.362,Alternative
68,0.00265,0.553,173320,0.917,0.00991,0.07,-8.806,0.0906,101.798,0.781,Rock
55,0.0841,,384467,0.639,0,0.371,-9.91,0.0336,149.686,,Rock
,0.00706,0.572,,0.868,,,-4.833,0.047,,0.248,
54,0.0727,0.609,-1,0.876,6.96E-06,0.0778,-5.777,0.0438,152.043,0.39,Rock
55,0.0674,0.432,-1,0.612,1.34E-06,0.111,-6.871,0.0285,89.995,0.113,Rock
56,0.000349,0.684,268760,0.906,0.55,0.103,-6.661,,101.46,0.555,Rock
55,0.479,0.345,,0.461,,,-12.063,0.0645,,0.171,Rock
54,0.174,0.568,213600,0.714,0,0.0429,-7.139,,146.338,0.955,Rock
33,0.933,0.304,-1,0.126,0.939,0.124,-20.634,0.0286,84.377,0.307,Jazz
57,0.175,0.541,174573,0.662,0,0.0803,-7.196,0.0382,144.046,0.742,Rock
35,,0.375,143581,,4.72E-06,0.0856,-12.955,0.0341,67.714,0.379,Classical
28,0.121,0.365,333867,0.676,0.701,0.478,-8.7,0.112,149.22,0.599,Blues
40,0.966,0.716,219173,0.404,0.909,0.107,-13.79,,96.979,0.565,Electronic
57,0.972,0.193,208040,0.0329,0.929,0.0978,-28.228,0.046,82.165,0.0366,Classical
59,0.228,0.573,233587,0.656,0,0.0651,-5.954,0.0562,81.952,0.668,Rock
70,,0.606,193000,,0,0.337,-4.404,0.0598,119.974,0.903,Rock
74,,,382834,,0.00201,0.269,-10.421,0.152,124.193,,Rock
24,0.11,0.626,368400,0.994,0.0415,0.304,-2.849,0.0802,129.993,0.475,Anime
64,0.000163,0.408,196947,0.817,0.03,0.403,-4.59,0.0759,120.4064967,0.288,Rock
57,0.123,0.749,238054,0.649,0,0.371,-8.623,0.053,120.068,0.146,Rap
52,0.00614,0.515,260160,0.912,0.177,0.157,,0.0693,107.131,0.596,Rock
64,,0.505,-1,,0,0.113,-5.146,0.0358,140.066,0.623,Rock
61,0.491,,288053,0.467,0.175,0.0805,-10.862,0.0305,113.713,,Blues
55,0.374,0.926,213120,0.354,0,0.49,-10.773,0.511,105.005,0.561,Hip-Hop
51,0.27,0.648,248173,0.637,4.22E-06,0.0469,-10.138,0.0296,120.4064967,0.738,Rock
,0.826,0.153,,0.359,,0.0816,-17.719,0.0384,83.894,0.313,Anime
57,0.402,0.498,-1,0.806,5.74E-06,0.525,-5.284,0.0265,120.4064967,0.664,Rock
,0.00664,0.496,,0.554,,,-8.487,0.365,,0.328,Rap
57,0.123,0.749,238054,0.649,0,0.371,-8.623,0.053,120.068,0.146,Hip-Hop
44,0.000254,0.378,287365,0.919,0.899,0.61,-6.234,0.0489,93.045,0.205,Jazz
52,0.694,0.771,,0.458,,0.0784,-7.652,0.0327,109.089,0.707,Jazz
36,0.847,0.465,131200,0.431,0,0.36,-10.847,0.0304,93.981,0.74,Blues
56,0.00463,,207967,0.854,0,0.344,-5.03,0.164,186.061,,Rock
57,0.0929,0.68,186800,0.798,0,0.0746,-4.978,0.116,116.989,0.594,Rock
62,0.00963,0.639,246173,0.903,7.06E-05,0.174,,0.0371,135.938,0.96,Rock
38,0.0162,0.636,182187,0.526,2.30E-06,0.089,-7.372,0.0363,76.447,0.338,Blues
48,,,574000,,0.682,0.268,-13.336,0.0313,119.596,,Rock
62,0.0812,0.56,230800,0.798,1.54E-06,0.327,-6.672,,124.397,0.675,Rock
68,0.461,0.573,142787,0.683,0,0.0935,-6.644,0.176,169.519,0.817,Rock
25,0.0242,0.449,376500,0.891,0.258,0.669,-4.118,0.135,109.953,0.544,Electronic
56,0.252,0.873,181360,0.872,0,0.335,-0.883,0.17,97.978,0.683,Hip-Hop
63,0.0129,,130909,0.914,0,0.0787,,0.266,93.532,,Rap
68,0.0125,0.426,166707,0.894,0.00041,0.187,-6.699,0.174,108.725,0.63,Alternative
25,0.0166,0.376,255120,0.3,0.000842,0.483,-5.861,0.0305,99.677,0.277,Anime
33,0.289,0.546,294933,0.437,0.000312,0.119,-8.993,0.0326,129.955,0.534,Blues
47,0.474,0.782,-1,0.791,0.0012,0.0555,-6.321,0.0383,99.992,0.819,Jazz
67,,0.476,202053,,0.00729,0.0944,-3.506,0.132,140.404,0.416,Rock
13,0.761,0.544,214800,0.792,0,0.335,,0.0462,119.998,0.615,Anime
65,,0.465,217824,,0.02,0.286,-6.331,0.237,155.061,0.39,Rock
70,0.0823,,214880,0.759,4.44E-05,0.0993,-5.67,0.037,124.725,,Rock
18,0.903,0.477,-1,0.221,0.852,0.113,-20.078,0.0329,128.154,0.198,Anime
60,0.212,0.661,206520,0.743,2.04E-06,0.0981,-7.76,0.0334,106.045,0.897,Rock
41,0.018,0.482,172520,0.864,0,0.0743,-4.04,0.0948,185.736,0.771,Alternative
60,0.648,0.443,159394,0.489,0.424,0.131,-6.932,0.0348,124.031,0.0517,Rock
62,0.0108,0.743,243333,0.67,0.0702,0.22,-4.547,0.0293,110.832,0.934,Rock
64,0.0507,0.693,184615,0.563,0.0021,0.112,-8.553,,155.962,0.618,Rap
65,0.0207,,192905,0.973,0.839,0.0381,,0.26,160.018,,Electronic
41,0.934,0.185,182773,0.0805,0.0125,0.0841,-21.025,0.0428,89.936,0.0574,Classical
63,0.000467,,254510,0.704,1.33E-05,0.326,-6.835,0.0301,99.804,,Rock
38,0.992,0.379,239640,0.279,0.907,0.107,-12.694,0.0339,89.918,0.293,Jazz
,0.602,0.658,,0.626,,0.682,-6.069,0.328,120.4064967,0.738,Hip-Hop
64,0.00165,,239333,0.78,2.14E-05,0.156,-4.939,0.0356,145.125,,Rock
36,0.0412,0.578,,0.826,,,-5.042,,,0.534,Country
46,,0.612,316653,,0.167,0.104,-8.637,0.0396,79.975,0.661,Electronic
57,,0.539,257080,,1.79E-05,0.121,-4.884,0.0269,88.969,0.503,Country
63,,0.647,217493,,0.703,0.0777,-4.692,0.029,110.059,0.268,Rock
63,0.788,0.688,165733,0.711,2.64E-05,0.0683,,0.0832,152.277,0.935,Rock
50,0.00127,0.41,183147,0.979,0.0125,0.355,-5.021,0.106,146.741,0.478,Rock
60,0.00792,,287880,0.872,0.8,0.261,-7.313,0.05,167.946,,Rock
69,,0.499,134200,,0,0.165,-3.902,0.0386,142.726,0.864,Rock
38,0.0133,,201347,0.869,0,0.14,-4.624,0.0496,80.98,,Country
44,0.597,0.669,192444,0.699,3.09E-05,0.2,-6.882,0.0582,92.006,0.368,Alternative
71,0.000332,0.305,206773,0.832,2.40E-05,0.091,-7.981,0.0398,100.677,0.585,Rock
54,0.929,,390328,0.195,0.807,0.0798,-19.454,0.0335,126.862,,Rock
67,0.0312,,244760,0.914,8.92E-05,0.0483,-3.834,0.107,97.021,,Rock
42,0.0295,0.291,194679,0.598,0.00227,0.0738,-6.972,,146.245,0.186,Alternative
48,,0.74,130293,,0,0.38,-9.483,0.0541,113.713,0.844,Country
47,,0.605,,,,,-7.035,0.0338,,0.434,Alternative
51,0.213,0.535,391320,0.551,8.72E-06,0.172,-9.99,0.0337,79.414,0.631,Rock
61,0.334,0.506,-1,0.526,0.000539,0.0907,-9.936,0.0285,129.641,0.591,Rock
53,,0.757,192414,,1.45E-05,0.112,-5.644,0.0425,121.968,0.96,Rock
33,0.0731,0.654,148267,0.726,0.891,0.243,-5.491,0.0354,90.969,0.56,Electronic
58,0.00107,0.5,207173,0.836,4.03E-05,0.197,-6.165,0.0454,90.011,0.41,Rock
53,0.00216,0.474,132733,0.994,0.126,0.314,-1.884,0.103,171.433,0.847,Rap
62,0.453,,213267,0.493,0,0.241,-8.786,0.0327,127.671,,Rock
40,0.00851,0.549,199240,0.895,1.12E-06,0.131,-7.145,0.0445,134.595,0.95,Alternative
41,0.885,0.454,264667,0.206,0.000108,0.067,-14.855,0.0333,167.169,0.336,Blues
38,0.733,0.54,-1,0.37,0.000932,0.0886,-12.017,0.0463,88.36,0.208,Blues
67,0.0662,0.816,,0.813,,0.602,-7.798,0.0664,127.979,0.436,Rap
23,,0.514,262253,,0.778,0.14,-6.601,0.117,143.844,0.444,Anime
29,0.176,0.609,344160,0.888,0,0.15,-2.814,0.036,119.959,0.696,Anime
6,0.978,0.239,708760,0.0514,0.874,0.101,-23.135,0.0451,110.333,0.0388,Classical
27,0.505,,217227,0.383,0,0.392,-13.074,0.0464,110.522,,Blues
32,0.00938,0.495,200360,0.786,0.00752,0.107,-10.51,0.035,142.266,0.696,Blues
59,0.408,0.888,236947,0.687,0,0.0615,-7.744,0.107,115.034,0.432,Electronic
70,0.00666,0.494,175093,0.939,0,0.139,-3.127,0.126,177.751,0.893,Alternative
30,0.331,0.779,-1,0.769,1.43E-06,0.076,-5.78,0.0384,127.96,0.941,Anime
64,0.79,,133507,0.338,0,0.105,-13.887,0.0454,122.421,,Rock
40,0.0138,0.77,-1,0.721,0.505,0.0968,-8.008,0.0532,119.996,0.366,Electronic
54,0.206,0.501,247202,0.903,0,0.155,-4.327,0.12,131.957,0.432,Hip-Hop
59,,0.674,-1,,0,0.694,,0.0293,114.048,0.889,Rock
51,0.00111,0.298,197480,0.597,0,0.0819,-12.107,0.0343,180.434,0.536,Rock
52,0.00384,0.544,210080,0.625,0.00657,0.0889,-6.797,0.0342,75.243,0.43,Rock
33,0.829,0.218,372187,0.244,0.93,0.129,-16.472,0.0404,83.739,0.06,Classical
63,0.407,0.759,220893,0.779,0.061,0.159,-9.375,0.0347,128.211,0.918,Rock
34,,0.544,-1,,0.0172,0.266,-5.031,0.0615,168.364,0.462,Electronic
57,0.405,0.584,199036,0.74,4.15E-06,0.569,-6.313,0.242,62.916,0.33,Rock
45,0.445,0.715,197013,0.662,0,0.0813,-5.761,0.188,87.904,0.626,Jazz
44,0.0101,0.698,212760,0.676,2.57E-05,0.112,-11.717,,116.486,0.961,Country
61,0.00987,0.678,268093,0.53,0.000274,0.0437,,0.024,91.779,0.678,Rock
54,0.0887,0.626,260853,0.691,9.63E-05,0.115,-5.873,0.0283,109.005,0.396,Rock
75,0.582,0.651,202920,0.708,0,0.0796,-4.791,,119.964,0.558,Rock
73,0.17,0.837,-1,0.549,0,0.057,-5.722,0.167,121.954,0.209,Rap
71,0.0311,0.654,211960,0.726,6.35E-05,0.0618,-3.803,0.0401,103.987,0.728,Rock
55,,0.684,238973,,2.98E-05,0.0627,-5.46,0.0307,115.94,0.565,Rock
64,0.0766,,327400,0.499,1.55E-06,0.111,-10.972,0.0685,171.067,,Rock
54,0.141,0.535,224960,0.803,0,0.297,-4.116,0.0465,147.902,0.342,Rock
65,0.723,0.714,-1,0.343,5.48E-06,0.102,-7.641,0.38,72.348,0.372,Rap
63,3.22E-05,0.47,215120,0.885,0.196,0.169,,0.0354,138.153,0.79,Rock
67,0.344,0.489,176147,0.637,0,0.176,-5.014,,170.157,0.345,Rock
44,0.000848,0.726,,0.892,,0.831,-2.278,0.0557,120.1,0.334,Electronic
54,0.229,0.862,148747,0.598,0.00304,0.135,-6.667,0.0612,141.934,0.561,Hip-Hop
50,0.102,0.307,367160,0.407,0.0571,0.103,-8.25,0.028,90.255,0.0433,Alternative
65,,0.643,248880,,7.71E-06,0.495,-4.66,0.0779,120.723,0.526,Rock
19,,0.666,252493,,0,0.13,-5.509,0.0258,138.029,0.512,Anime
64,0.25,0.546,178147,0.631,0,0.123,-5.757,0.0283,129.556,0.569,Rock
41,0.00241,,196597,0.931,0.852,0.356,-3.817,0.0708,140.031,,Electronic
39,0.000672,0.56,219000,0.87,0.109,0.129,-3.492,0.0523,160.044,0.345,Electronic
63,0.00384,0.635,190448,0.908,0.0834,0.239,-4.795,0.0563,110.012,0.637,Rock
56,0.259,0.534,233893,0.457,0.0004,0.203,-8.66,0.0266,140.798,0.271,Rock
57,0.732,,-1,0.298,0.00295,0.1,-13.477,0.0356,128.022,,Rock
48,0.161,0.481,234274,0.571,0.00494,0.357,-8.582,0.0296,167.634,0.634,Rock
49,0.000821,,217440,0.89,0,0.0912,-5.759,0.0655,100.061,,Rock
53,0.994,0.222,161360,0.0119,0.925,0.102,-32.855,0.0357,72.774,0.14,Classical
64,0.298,0.541,160080,0.608,0,0.234,-13.083,0.106,171.992,0.938,Rock
,,0.155,,,,0.0952,-26.549,0.0447,92.442,0.0731,Classical
62,0.0819,0.421,300427,0.963,0,0.5,-2.16,0.415,120.4064967,0.494,Rap
59,0.031,0.513,242667,0.77,0,0.198,-5.131,0.0277,120.4064967,0.849,Rock
47,,0.699,147107,,0,0.108,-4.952,0.215,144.88,0.812,Alternative
67,0.00738,0.547,197053,0.804,0,0.0308,-5.268,0.0361,142.016,0.666,Rock
62,0.727,0.73,163093,0.504,0,0.143,-11.686,0.0481,126.282,0.883,Rock
56,0.0116,0.528,208067,0.888,0.762,0.154,-6.039,0.0326,145.971,0.897,Rock
58,0.335,0.792,230600,0.808,0,0.269,-4.156,0.0963,92.064,0.709,
58,,0.627,,,,,-12.33,0.0403,,0.323,Rock
69,0.45,0.643,250107,0.809,1.22E-06,0.154,-3.275,0.028,112.677,0.499,Rock
58,0.22,,238267,0.528,0.35,0.14,-13.382,0.0358,117.472,,Rock
50,,0.884,228667,,0.00104,0.0499,-8.919,,99.018,0.415,Rap
44,0.0462,0.676,195053,0.788,0,0.173,-5.757,0.0994,120.4064967,0.384,Country
2,0.498,0.539,55101,0.453,0.875,0.106,-21.199,0.0684,82.184,0.764,Jazz
43,0.163,0.81,350467,0.59,0.06,0.0961,-7.421,0.047,120.017,0.662,Jazz
50,,0.624,369947,,0.204,0.0662,-10.746,0.0281,144.049,0.713,Rock
53,0.917,0.561,228920,0.252,0,0.106,-9.448,0.0345,144.226,0.346,Rock
73,,0.467,320267,,0.0248,0.118,-10.451,0.0255,94.301,0.166,Rock
44,,0.221,184169,,0.957,0.0757,-23.238,0.0367,102.96,0.127,Classical
54,0.149,0.738,257640,0.879,0,0.102,-4.444,0.245,90.338,0.893,Rap
48,0.203,0.673,212907,0.838,8.80E-06,0.105,-5.922,0.314,168.114,0.872,Hip-Hop
32,0.806,0.423,123840,0.156,0.000587,0.623,-17.959,0.039,135.911,0.563,Classical
37,,,205320,,0.952,0.11,-6.854,0.033,186.004,,Classical
39,,0.206,208280,,0.959,0.144,-23.543,0.0464,114.943,0.0383,Classical
31,1.14E-05,0.294,253947,0.921,8.04E-05,0.0802,-4.165,0.0807,184.78,0.241,Classical
56,0.00579,0.939,144453,0.373,0,0.274,-7.779,0.227,119.953,0.0602,Rap
64,6.06E-05,0.451,194227,0.815,0,0.27,-5.55,0.0368,147.974,0.618,Alternative
48,0.449,,149987,0.485,2.33E-06,0.0716,-7.164,0.0602,119.161,,Jazz
56,0.153,0.731,-1,0.488,4.44E-06,0.0634,-7.256,0.0538,93.981,0.465,Hip-Hop
36,0.139,0.635,249147,0.476,5.97E-05,0.103,-10.441,0.0721,88.053,0.522,Blues
47,0.176,0.809,149013,0.701,0,0.184,-12.484,0.0574,105.696,0.563,Blues
54,0.000173,0.521,206000,0.919,0.00218,0.301,-3.146,0.0475,131.726,0.746,Rock
21,0.614,,89958,0.433,0.764,0.108,-10.354,0.146,80.038,,Electronic
27,0.702,0.738,160240,0.411,0.0086,0.106,-8.988,0.0507,76.005,0.651,Blues
47,0.404,0.467,157608,0.581,0,0.149,-9.768,0.456,91.108,0.152,Hip-Hop
50,0.0879,0.776,,0.601,,,-6.041,0.0487,,0.416,Alternative
39,0.81,,213667,0.395,0,0.346,-11.674,0.0306,136.467,,Country
72,0.909,0.643,,0.344,,0.106,-11.342,0.0349,144.171,0.547,Rock
66,0.129,,195173,0.83,0,0.29,-5.43,0.0652,95.004,,Rock
47,,0.682,241120,,0,0.18,-9.69,0.335,170.049,0.366,Rap
50,0.0193,0.407,205587,0.821,2.06E-06,0.36,-4.987,0.0657,99.814,0.61,Rock
27,0.0589,0.544,232533,0.484,2.92E-06,0.256,-7.111,0.0254,144.872,0.519,Blues
32,0.00465,0.638,222369,0.587,0.909,0.157,-6.266,0.0413,145.036,0.323,Electronic
61,0.00669,0.6,256467,0.614,0,0.166,-4.688,0.0885,121.965,0.341,Rock
82,0.0021,0.592,329733,0.767,0.00165,0.127,-2.788,0.027,96.483,0.328,Rock
68,,0.635,217419,,0,0.097,-4.862,0.258,82.142,0.638,Hip-Hop
59,0.144,0.613,285467,0.531,3.74E-06,0.801,-9.172,,152.023,0.338,Rock
19,0.00242,0.396,281640,0.986,2.14E-05,0.338,-4.843,0.23,169.976,0.143,Anime
47,0.975,0.36,-1,0.366,0.00229,0.375,-11.636,0.0683,80.491,0.386,Classical
46,0.89,0.42,213253,0.426,0,0.919,-8.648,0.0274,120.4064967,0.489,Country
60,0.896,0.726,214547,0.177,2.14E-06,0.116,-14.824,0.0353,92.934,0.618,Rock
49,0.553,0.681,,0.447,,0.122,-8.83,0.0477,99.418,0.746,Rock
46,0.00076,0.505,223373,0.755,0.0725,0.348,-7.568,0.0315,157.993,0.532,Electronic
61,0.159,0.674,217387,0.705,6.11E-06,0.106,-7.516,0.0259,95.99,0.635,Rock
,0.595,0.503,,0.772,,,-6.205,0.0322,,0.935,Rock
30,0.223,0.637,224587,0.831,0.402,0.114,-6.372,0.0298,90.008,0.533,Jazz
8,0.954,,1617333,0.123,0.74,0.711,-17.919,0.0396,56.855,,Classical
74,0.176,0.714,222227,0.735,0.000622,0.115,-7.125,0.0306,123.57,0.68,Rock
64,0.347,0.669,275507,0.707,0.000716,0.0997,-13.66,0.0478,124.335,0.806,Rock
,0.888,,,0.471,,0.103,-10.544,0.0371,146.322,,Classical
59,0.00758,0.64,227013,0.469,0.000453,0.0711,-8.718,0.0412,90.001,0.305,Rock
38,0.193,0.612,394147,0.481,0.000119,0.108,-7.158,0.0288,90.033,0.467,Jazz
53,0.903,0.637,214240,0.129,0,0.107,-11.89,0.0405,139.742,0.368,Rock
,0.615,,,0.272,,,-10.575,0.0445,,,Rock
69,0.644,0.561,267253,0.337,8.79E-05,0.67,-9.272,0.0284,109.373,0.273,Rock
32,0.765,0.696,,0.617,,,-7.973,0.0297,,0.47,Jazz
55,0.131,0.567,290827,0.569,0.011,0.0714,-11.963,0.0335,109.293,0.75,Rock
53,0.0344,0.479,245333,0.718,0,0.282,-4.271,0.0368,149.576,0.398,Rock
71,,0.787,175721,,0,0.102,-7.676,0.0685,120.4064967,0.21,Hip-Hop
41,0.578,0.611,,0.425,,0.0603,-11.332,0.0472,120.15,0.654,Jazz
55,0.245,0.667,273693,0.647,0.000297,0.0633,-7.787,0.0487,143.995,0.3,Rock
21,0.000266,,-1,0.949,3.72E-05,0.336,-4.046,0.0514,150.003,,Anime
53,0.00591,,-1,0.812,0.000494,0.408,-6.398,,146.2,,Rock
52,0.000347,,272074,0.828,0.144,0.128,-5.453,,81.861,,Rock
44,0.000354,0.272,204402,0.908,0.0362,0.18,-7.928,0.103,160.913,0.38,Alternative
32,0.904,0.393,386533,0.129,0.587,0.1,-23.347,0.0393,120.123,0.645,Classical
59,,0.624,199767,,0.00017,0.11,-6.658,0.0318,91.973,0.367,Rock
51,0.184,0.754,208867,0.801,0,0.132,-5.992,0.35,120.4064967,0.391,Jazz
55,0.0658,,253227,0.589,5.34E-05,0.0862,-8.249,0.032,115.283,,Rock
39,0.378,0.927,195200,0.418,2.43E-06,0.117,-5.181,0.0454,101.032,0.921,Jazz
36,0.289,0.554,299600,0.811,0,0.363,-4.481,0.0461,160.17,0.737,Anime
61,0.00695,0.793,225600,0.554,0,0.127,-6.624,0.0451,119.993,0.225,Rap
64,0.0537,0.628,201653,0.845,0,0.378,,0.0398,115.999,0.801,Rock
34,0.211,0.599,210550,0.79,6.74E-06,0.326,-7.155,0.0295,91.029,0.718,Country
56,,,254493,,0,0.0651,-4.109,0.0427,81.962,,Rock
37,0.995,0.45,85707,0.00251,0.926,0.0571,-38.718,0.0535,62.44,0.0896,Classical
